流量	降雨	蒸发
0.96 	4.38 	0.05
1.44 	4.38 	0.05
1.92 	4.38 	0.05
2.39 	4.38 	0.05
2.87 	4.38 	0.05
3.35 	0.63 	0.05
9.34 	0.63 	0.05
15.06 	0.63 	0.05
20.78 	0.63 	0.05
26.50 	0.63 	0.05
45.45 	0.63 	0.05
64.40 	0.25 	0.05
64.40 	0.25 	0.05
61.37 	0.25 	0.05
58.33 	0.25 	0.05
55.30 	0.00 	0.05
52.26 	0.00 	0.05
49.23 	0.00 	0.05
46.19 	0.00 	0.05
43.15 	0.00 	0.05
40.11 	0.00 	0.05
37.08 	0.00 	0.05
34.04 	0.00 	0.05
31.00 	0.00 	0.05
29.21 	0.00 	0.05
27.43 	0.00 	0.05
25.64 	0.00 	0.05
23.86 	0.00 	0.05
22.07 	0.00 	0.05
20.29 	0.00 	0.05
18.50 	0.00 	0.05
17.63 	0.00 	0.05
16.77 	0.00 	0.05
15.90 	0.00 	0.05
15.03 	0.00 	0.05
14.17 	0.00 	0.05
13.30 	0.00 	0.05
12.43 	0.00 	0.05
11.57 	0.00 	0.05
10.70 	0.00 	0.05
10.31 	0.00 	0.05
9.92 	0.00 	0.05
9.53 	0.00 	0.05
9.14 	0.00 	0.05
8.75 	0.00 	0.05
8.36 	0.00 	0.05
7.97 	0.00 	0.05
